Security Start Date,Company Name,Country of Incorporation,LSE Market,FCA Listing Category,ISIN,Security Name,TIDM,Mkt Cap £m,Shares in Issue,Industry,Supersector,Sector,Subsector,Group,MarketSegmentCode,MarketSectorCode,Trading Currency,,,,,,,,,,,,,,,,,,
18-Jul-14,AGGREGATED MICRO POWER HLDGS PLC   ,GB,AIM,,GB00BC4F3V69,ORD GBP0.005                            ,AMPH ,21.21108632,"31,192,774.00",Utilities,Utilities,Electricity,Alternative Electricity,7537,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
28-May-14,AGGREKO                            ,GB,UK Main Market,Premium Equity Commercial Companies,GB00BK1PTB77,ORD GBP0.048329113924                   ,AGK ,2609.94636819,"256,128,201.00",Industrials,Industrial Goods & Services,Support Services,Business Support Services,2791,STMM,F25F,GBX,,,,,,,,,,,,,,,,,,
5-Feb-09,AGRITERRA LTD                      ,GG,AIM,,GB00B05MGT12,ORD GBP0.001                            ,AGTA ,2.6014552711,"1,061,818,478.00",Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,3573,AMSM,ASM8,GBX,,,,,,,,,,,,,,,,,,
15-Dec-04,AIR CHINA                          ,CN,International Main Market,Standard Shares,CNE1000001S0,'H'CNY1                                 ,AIRC,1611.28752033957,"3,383,532,000.00",Consumer Services,Travel & Leisure,Travel & Leisure,Airlines,5751,SSX4,SXSN,GBX,,,,,,,,,,,,,,,,,,
23-Nov-95,AIR PARTNER PLC                    ,GB,UK Main Market,Premium Equity Commercial Companies,GB0000115302,GBP0.05                                 ,AIR ,43.39578093875,"10,189,793.00",Consumer Services,Travel & Leisure,Travel & Leisure,Airlines,5751,SET3,ON10,GBX,,,,,,,,,,,,,,,,,,
21-Dec-05,AIREA PLC                          ,GB,AIM,,GB0008123027,ORD GBP0.25                             ,AIEA ,9.1328848625,"46,242,455.00",Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Furnishings,3726,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
22-May-02,AKERS BIOSCIENCES INC              ,US,AIM,,US00973E1029,NPV                                     ,AKR  ,6.284763375,"2,591,655.00",Health Care,Health Care,Health Care Equipment & Services,Medical Supplies,4537,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
4-Apr-05,ALBA MINERAL RESOURCES             ,GB,AIM,,GB00B06KBB18,ORD GBP0.001                            ,ALBA ,3.2721217694,"1,487,328,077.00",Basic Materials,Basic Resources,Mining,General Mining,1775,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
27-Jan-99,ALBION DEVELOPMENT VCT PLC         ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0004832472,ORD GBP0.01                             ,AADV,44.1018337875,"65,578,935.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
5-Apr-07,ALBION ENTERPRISE VCT PLC          ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00B1G3LR35,ORD GBP0.01                             ,AAEV,42.367434195,"47,872,807.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
17-Jan-01,ALBION TECHNOLOGY & GENERAL VCT PLC,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0005581672,ORD GBP0.01                             ,AATG,60.24786023,"91,981,466.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
4-Apr-96,ALBION VENTURE CAPITAL TST PLC     ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0002039625,ORD GBP0.01                             ,AAVC,43.279195505,"65,081,497.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
6-Mar-12,ALCENTRA EUROPEAN FLTG RTE INC FD  ,GG,UK Main Market,Premium Equity Closed Ended Investment Funds,GG00B6116N85,RED ORD NPV GBP                         ,AEFS,192.931495575,"197,878,457.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMM,SSC7,GBX,,,,,,,,,,,,,,,,,,
13-Mar-15,ALDERMORE GROUP PLC                ,GB,UK Main Market,Premium Equity Commercial Companies,GB00BQQMCJ47,ORD GBP0.10                             ,ALD ,563.64921984,"344,739,584.00",Financials,Banks,Banks,Banks,8355,STMM,F25F,GBX,,,,,,,,,,,,,,,,,,
3-Aug-06,ALECTO MINERALS PLC                ,GB,AIM,,GB00B5SCHP68,ORD GBP0.0001                           ,ALO  ,4.6959305925,"4,472,314,850.00",Basic Materials,Basic Resources,Mining,Gold Mining,1777,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
